char,dir,img_num
一,U4E00,"1,000"
丁,U4E01,145
七,U4E03,"1,000"
三,U4E09,"1,000"
上,U4E0A,"1,000"
下,U4E0B,"1,000"
不,U4E0D,751
世,U4E16,236
中,U4E2D,"1,000"
主,U4E3B,559
久,U4E45,194
之,U4E4B,"1,000"
九,U4E5D,"1,000"
事,U4E8B,"1,000"
二,U4E8C,"1,000"
云,U4E91,721
五,U4E94,"1,000"
井,U4E95,261
京,U4EAC,339
人,U4EBA,"1,000"
今,U4ECA,788
他,U4ED6,865
付,U4ED8,332
代,U4EE3,654
以,U4EE5,"1,000"
伊,U4F0A,228
位,U4F4D,406
佐,U4F50,133
何,U4F55,881
作,U4F5C,648
來,U4F86,"1,000"
依,U4F9D,334
保,U4FDD,402
信,U4FE1,403
元,U5143,404
入,U5165,705
全,U5168,375
八,U516B,962
公,U516C,369
六,U516D,"1,000"
共,U5171,509
兵,U5175,194
其,U5176,"1,000"
内,U5185,643
出,U51FA,"1,000"
分,U5206,926
切,U5207,391
別,U5225,398
利,U5229,607
前,U524D,469
力,U529B,573
加,U52A0,381
助,U52A9,163
動,U52D5,483
務,U52D9,338
勝,U52DD,220
化,U5316,381
北,U5317,286
區,U5340,220
十,U5341,"1,000"
千,U5343,486
南,U5357,218
印,U5370,163
即,U5373,174
原,U539F,673
又,U53C8,"1,000"
及,U53CA,756
反,U53CD,336
取,U53D6,384
受,U53D7,244
口,U53E3,183
古,U53E4,420
可,U53EF,382
右,U53F3,357
各,U5404,437
合,U5408,609
吉,U5409,220
同,U540C,"1,000"
名,U540D,859
向,U5411,289
和,U548C,446
品,U54C1,439
員,U54E1,309
商,U5546,179
四,U56DB,"1,000"
回,U56DE,171
因,U56E0,331
困,U56F0,120
固,U56FA,167
國,U570B,"1,000"
圍,U570D,113
圓,U5713,308
圖,U5716,289
團,U5718,125
土,U571F,403
在,U5728,674
地,U5730,581
場,U5834,612
士,U58EB,195
外,U5916,610
多,U591A,893
大,U5927,"1,000"
天,U5929,490
太,U592A,378
夫,U592B,252
好,U597D,264
如,U5982,"1,000"
子,U5B50,753
字,U5B57,151
學,U5B78,522
安,U5B89,474
官,U5B98,258
定,U5B9A,869
宮,U5BAE,180
家,U5BB6,525
富,U5BCC,225
實,U5BE6,582
對,U5C0D,671
小,U5C0F,640
少,U5C11,582
就,U5C31,342
居,U5C45,833
屋,U5C4B,234
山,U5C71,905
岡,U5CA1,175
岩,U5CA9,125
島,U5CF6,392
川,U5DDD,312
工,U5DE5,476
左,U5DE6,540
己,U5DF1,172
市,U5E02,484
常,U5E38,486
年,U5E74,"1,000"
府,U5E9C,195
度,U5EA6,831
廣,U5EE3,200
式,U5F0F,295
引,U5F15,364
彼,U5F7C,217
後,U5F8C,905
得,U5F97,990
從,U5F9E,538
御,U5FA1,421
心,U5FC3,710
必,U5FC5,333
意,U610F,466
愛,U611B,235
成,U6210,753
我,U6211,295
或,U6216,515
戸,U6238,334
所,U6240,751
手,U624B,713
支,U652F,433
改,U6539,204
政,U653F,409
故,U6545,343
教,U6559,365
敷,U6577,117
數,U6578,774
文,U6587,523
新,U65B0,605
方,U65B9,690
於,U65BC,710
日,U65E5,"1,000"
明,U660E,989
春,U6625,192
時,U6642,729
書,U66F8,543
最,U6700,614
會,U6703,684
月,U6708,500
有,U6709,587
期,U671F,404
木,U6728,536
本,U672C,"1,000"
村,U6751,508
東,U6771,554
松,U677E,203
果,U679C,305
格,U683C,167
條,U689D,378
業,U696D,746
機,U6A5F,138
次,U6B21,682
止,U6B62,311
正,U6B63,815
此,U6B64,"1,000"
民,U6C11,478
氣,U6C23,408
水,U6C34,614
永,U6C38,169
河,U6CB3,203
治,U6CBB,573
法,U6CD5,906
海,U6D77,188
清,U6E05,258
澤,U6FA4,196
無,U7121,641
然,U7136,807
爲,U7232,834
物,U7269,870
特,U7279,152
玉,U7389,120
現,U73FE,541
理,U7406,329
生,U751F,"1,000"
産,U7523,419
用,U7528,"1,000"
田,U7530,652
由,U7531,266
申,U7533,308
町,U753A,413
異,U7570,255
當,U7576,672
發,U767C,466
白,U767D,299
百,U767E,698
的,U7684,728
目,U76EE,675
直,U76F4,483
相,U76F8,656
知,U77E5,775
石,U77F3,489
社,U793E,300
科,U79D1,179
種,U7A2E,638
立,U7ACB,885
第,U7B2C,608
等,U7B49,250
縣,U7E23,219
總,U7E3D,229
置,U7F6E,527
義,U7FA9,442
考,U8003,333
者,U8005,421
而,U800C,518
自,U81EA,798
至,U81F3,502
般,U822C,128
色,U8272,326
花,U82B1,236
若,U82E5,329
英,U82F1,179
萬,U842C,300
藏,U85CF,137
處,U8655,364
號,U865F,218
行,U884C,"1,000"
表,U8868,517
製,U88FD,269
西,U897F,460
要,U8981,795
見,U898B,721
親,U89AA,227
角,U89D2,197
解,U89E3,294
言,U8A00,499
計,U8A08,586
記,U8A18,284
設,U8A2D,119
許,U8A31,150
認,U8A8D,271
調,U8ABF,326
論,U8AD6,168
費,U8CBB,220
越,U8D8A,138
足,U8DB3,236
軍,U8ECD,126
近,U8FD1,303
通,U901A,641
造,U9020,223
道,U9053,528
邊,U908A,163
郎,U90CE,344
郡,U90E1,138
部,U90E8,339
都,U90FD,254
重,U91CD,536
野,U91CE,495
量,U91CF,302
金,U91D1,249
長,U9577,328
門,U9580,217
開,U958B,183
間,U9593,665
關,U95DC,523
附,U9644,436
限,U9650,329
院,U9662,135
電,U96FB,180
青,U9752,116
面,U9762,603
頭,U982D,161
額,U984D,162
類,U985E,444
風,U98A8,231
體,U9AD4,329
高,U9AD8,847
